#{"t_start": 1756840103.8290358, "env_id": "None"}
r,l,t
0.0,1,2.440097
0.0,2,6.139247
-234.18,126,187.409816
0.0,2,191.36461
0.0,1,193.676884
-152.54,164,434.566649
0.0,2,438.631371
-124.08,86,562.584474
0.0,3,567.853812
-264.14,130,751.622694
-130.12,120,922.043717
0.0,2,926.106834
0.0,1,928.380738
-200.08,85,1048.580241
0.0,2,1052.242835
0.0,1,1054.448165
-207.38,166,1295.147684
0.0,2,1299.196662
-216.48,171,1538.534977
0.0,2,1542.418861
-257.56,159,1774.085041
0.0,2,1778.228161
-211.52,155,2013.562616
0.0,3,2019.362026
181.82,50,2103.430198
-210.14,62,2195.881599
-258.42,141,2399.419528
0.0,2,2403.835857
-104.52,276,2805.941965
0.0,2,2809.997467
-286.38,126,2986.379603
0.0,2,2992.463588
-214.28,82,3109.966122
0.0,2,3113.816018
-187.4,263,3476.939248
0.0,3,3481.723432
0.0,1,3484.122713
-262.5,193,3772.22892
0.0,2,3776.328645
0.0,1,3778.666458
0.0,1,3780.962444
-0.02,5,3788.111866
-236.66,146,3990.311612
0.0,2,3994.316297
0.0,1,3996.440646
-278.1,97,4126.117514
0.0,2,4130.151221
-244.26,131,4313.038456
0.0,2,4316.95489
-236.02,205,4606.760386
0.0,2,4611.030877
0.0,1,4613.295638
-228.22,117,4780.964322
0.0,2,4784.845916
-268.2,123,4959.150771
0.0,2,4963.170671
0.0,1,4965.454564
0.0,1,4967.821378
-218.44,208,5268.291315
0.0,2,5272.406357
-210.36,136,5458.055555
0.0,2,5461.960468
-252.42,120,5630.597027
0.0,2,5634.765321
-260.08,82,5751.532375
0.0,2,5755.549711
-224.14,79,5870.072435
0.0,2,5873.968217
0.0,1,5876.30503
0.0,1,5878.60386
0.0,1,5881.238101
-262.12,83,5999.487019
0.0,2,6003.190252
0.0,1,6005.673602
-42.08,92,6140.672614
-124.08,25,6179.685377
0.0,2,6183.6239
0.0,1,6185.90922
